"soilseriesiid","soilseriesname","soilseriesstatus","benchmarksoilflag","statsgoflag","taxclname","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","taxpartsize","taxpartsizemod","taxminalogy","taxceactcl","taxreaction","taxtempcl","mlraoffice","areasymbol","areaname","areatypename","originyear","establishedyear","soiltaxclasslastupdated"
5630,"AABAB","Established",FALSE,FALSE,"FINE-SILTY, ISOTIC, ISOMESIC AQUANDIC DYSTRUDEPTS","Inceptisols","Udepts","Dystrudepts","Aquandic Dystrudepts","fine-silty",NA,"isotic",NA,NA,"isomesic","bozeman, mt","WA","Washington","State or Territory",NA,1978,1999
5631,"AABERG","Established",FALSE,TRUE,"FINE, SMECTITIC, FRIGID LEPTIC UDIC HAPLUSTERTS","Vertisols","Usterts","Haplusterts","Leptic Udic Haplusterts","fine",NA,"smectitic",NA,NA,"frigid","bozeman, mt","CO","Colorado","State or Territory",NA,1973,1999
5632,"AAGARD","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE CALCIC PACHIC ARGICRYOLLS","Mollisols","Cryolls","Argicryolls","Calcic Pachic Argicryolls","fine-loamy",NA,"mixed","superactive",NA,NA,"davis, ca","UT","Utah","State or Territory",2008,2011,2011
30200,"AAGIAK","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, ACID HUMIC CRYAQUEPTS","Inceptisols","Aquepts","Cryaquepts","Humic Cryaquepts","loamy-skeletal",NA,"mixed","superactive","acid",NA,NA,"AK","Alaska","State or Territory",2024,NA,2024
5633,"AARON","Established",FALSE,TRUE,"FINE, MIXED, ACTIVE, MESIC OXYAQUIC HAPLUDALFS","Alfisols","Udalfs","Hapludalfs","Oxyaquic Hapludalfs","fine",NA,"mixed","active",NA,"mesic","morgantown, wv","KY","Kentucky","State or Territory",NA,1982,2001
5634,"AARUP","Established",FALSE,TRUE,"ASHY, GLASSY, MESIC, SHALLOW VITRITORRANDIC DURIXEROLLS","Mollisols","Xerolls","Durixerolls","Vitritorrandic Durixerolls","ashy",NA,"glassy",NA,NA,"mesic","bozeman, mt","WA","Washington","State or Territory",1990,1998,1998
5635,"AASTAD","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID PACHIC ARGIUDOLLS","Mollisols","Udolls","Argiudolls","Pachic Argiudolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","salina, ks","MN","Minnesota","State or Territory",NA,1951,2025
5636,"AAZDAHL","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, FRIGID AQUIC HAPLUDOLLS","Mollisols","Udolls","Hapludolls","Aquic Hapludolls","fine-loamy",NA,"mixed","superactive",NA,"frigid","salina, ks","MN","Minnesota","State or Territory",NA,1974,1999
5637,"ABAC","Established",FALSE,TRUE,"LOAMY, MIXED, SUPERACTIVE, FRIGID, SHALLOW TYPIC HAPLUSTEPTS","Inceptisols","Ustepts","Haplustepts","Typic Haplustepts","loamy",NA,"mixed","superactive",NA,"frigid","bozeman, mt","MT","Montana","State or Territory",NA,1970,2012
5638,"ABAFT","Established",FALSE,FALSE,"MIXED, THERMIC TYPIC XEROPSAMMENTS","Entisols","Psamments","Xeropsamments","Typic Xeropsamments",NA,NA,"mixed",NA,NA,"thermic","davis, ca","CA","California","State or Territory",2005,2005,2006
5639,"ABAJO","Established",FALSE,TRUE,"FINE, SMECTITIC, MESIC UDIC PALEUSTOLLS","Mollisols","Ustolls","Paleustolls","Udic Paleustolls","fine",NA,"smectitic",NA,NA,"mesic","davis, ca","UT","Utah","State or Territory",NA,1952,1997
5640,"ABALAN","Established",FALSE,FALSE,"LOAMY-SKELETAL, MIXED, SUPERACTIVE, MESIC, SHALLOW XERIC HAPLARGIDS","Aridisols","Argids","Haplargids","Xeric Haplargids","loamy-skeletal",NA,"mixed","superactive",NA,"mesic","davis, ca","NV","Nevada","State or Territory",1989,2004,2004
5641,"ABALOBADIAH","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, SUPERACTIVE, ISOMESIC PACHIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Pachic Argiustolls","fine-loamy",NA,"mixed","superactive",NA,"isomesic","davis, ca","CA","California","State or Territory",NA,1993,2006
5642,"ABARCA","Tentative",FALSE,TRUE,"LOAMY-SKELETAL OVER SANDY OR SANDY-SKELETAL, MIXED, SUPERACTIVE, FRIGID TORRIORTHENTIC HAPLUSTOLLS","Mollisols","Ustolls","Haplustolls","Torriorthentic Haplustolls","loamy-skeletal over sandy or sandy-skeletal",NA,"mixed","superactive",NA,"frigid","bozeman, mt","WY","Wyoming","State or Territory",1972,NA,2000
5643,"ABBAYE","Established",FALSE,TRUE,"COARSE-LOAMY, MIXED, ACTIVE, FRIGID ALFIC OXYAQUIC HAPLORTHODS","Spodosols","Orthods","Haplorthods","Alfic Oxyaquic Haplorthods","coarse-loamy",NA,"mixed","active",NA,"frigid","salina, ks","MI","Michigan","State or Territory",1983,NA,2003
5644,"ABBEYLAKE","Established",FALSE,FALSE,"MIXED, FRIGID TYPIC UDIPSAMMENTS","Entisols","Psamments","Udipsamments","Typic Udipsamments",NA,NA,"mixed",NA,NA,"frigid","salina, ks","MN","Minnesota","State or Territory",1992,1994,1997
5645,"ABBIE","Established",FALSE,FALSE,"FINE-LOAMY, MIXED, SUPERACTIVE, THERMIC ARIDIC ARGIUSTOLLS","Mollisols","Ustolls","Argiustolls","Aridic Argiustolls","fine-loamy",NA,"mixed","superactive",NA,"thermic","temple, tx","OK","Oklahoma","State or Territory",1994,1995,2016
24661,"ABBOTT","Established",TRUE,TRUE,"FINE, SMECTITIC, CALCAREOUS, MESIC VERTIC ENDOAQUEPTS","Inceptisols","Aquepts","Endoaquepts","Vertic Endoaquepts","fine",NA,"smectitic",NA,"calcareous","mesic","davis, ca","UT","Utah","State or Territory",NA,1919,2007
5646,"ABBOTTSTOWN","Established",FALSE,TRUE,"FINE-LOAMY, MIXED, ACTIVE, MESIC AERIC FRAGIAQUALFS","Alfisols","Aqualfs","Fragiaqualfs","Aeric Fragiaqualfs","fine-loamy",NA,"mixed","active",NA,"mesic","morgantown, wv","PA","Pennsylvania","State or Territory",NA,1965,2001
